"condition","response_1","response_2","response_3"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,NA,NA,NA
0.6,NA,NA,NA
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,NA,NA,NA
0.6,NA,NA,NA
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,NA,"Less than 350","Less than 350"
0.7,NA,"More than 350","More than 350"
0.7,NA,"Less than 350","More than 350"
0.7,NA,"More than 350","More than 350"
0.7,NA,"Less than 350","Less than 350"
0.7,NA,"Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","More than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,NA,NA,NA
0.7,NA,NA,NA
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,NA,NA,NA
0.7,NA,NA,NA
0.7,"More than 350","More than 350","More than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
0.7,"More than 350","More than 350","More than 350"
0.7,"Less than 350","Less than 350","Less than 350"
