"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.325,318.407173053239,420.442021810181,476.588230959613,473.404496825624,0.715,0.964,1000,3,"lognorm"
0.35,331.308184932062,420.442021810181,476.588230959613,473.404496825624,0.683,0.958,1000,3,"lognorm"
0.375,343.626754322754,420.442021810181,476.588230959613,473.404496825624,0.657,0.946,1000,3,"lognorm"
0.4,353.775201623635,420.442021810181,476.588230959613,473.404496825624,0.636,0.934,1000,3,"lognorm"
0.425,365.868294719616,420.442021810181,476.588230959613,473.404496825624,0.609,0.923,1000,3,"lognorm"
0.45,376.627347748832,420.442021810181,476.588230959613,473.404496825624,0.582,0.914,1000,3,"lognorm"
0.475,387.81139474412,420.442021810181,476.588230959613,473.404496825624,0.554,0.894,1000,3,"lognorm"
0.5,400.432289933286,420.442021810181,476.588230959613,473.404496825624,0.535,0.881,1000,3,"lognorm"
0.525,413.99790512508,420.442021810181,476.588230959613,473.404496825624,0.509,0.86,1000,3,"lognorm"
0.55,429.018098166205,420.442021810181,476.588230959613,473.404496825624,0.486,0.822,1000,3,"lognorm"
0.575,443.649283468963,420.442021810181,476.588230959613,473.404496825624,0.462,0.792,1000,3,"lognorm"
0.6,459.222698448087,420.442021810181,476.588230959613,473.404496825624,0.438,0.714,1000,3,"lognorm"
0.625,474.400022345752,420.442021810181,476.588230959613,473.404496825624,0.418,0.366,1000,3,"lognorm"
0.65,489.378066358017,420.442021810181,476.588230959613,473.404496825624,0.397,0.206,1000,3,"lognorm"
0.675,508.682812057445,420.442021810181,476.588230959613,473.404496825624,0.366,0.157,1000,3,"lognorm"
0.7,527.033752420504,420.442021810181,476.588230959613,473.404496825624,0.333,0.125,1000,3,"lognorm"
0.725,547.174283002247,420.442021810181,476.588230959613,473.404496825624,0.309,0.1,1000,3,"lognorm"
0.75,569.582401188563,420.442021810181,476.588230959613,473.404496825624,0.282,0.087,1000,3,"lognorm"
0.775,592.184453674335,420.442021810181,476.588230959613,473.404496825624,0.254,0.07,1000,3,"lognorm"
0.8,616.950875801816,420.442021810181,476.588230959613,473.404496825624,0.226,0.056,1000,3,"lognorm"
